index_ecoreg,stand_bins,ENFW,DBFM,Shrubs,Herb_Sparse,Wetlands,Barren
TAIGA CORDILLERA,>60,0.7383123717711167,0.0772646919044193,0.11041679772599076,0.03218019630616233,0.03313307468610521,0.00869286760620563
TAIGA PLAIN,pre-fire,0.7345758072938808,0.0287512724420969,0.040139937646761686,0.11920853382548356,0.07598756110154233,0.0013368876902347072
TAIGA PLAIN,-01,0.6851128425699139,0.019125021194890707,0.04591197401620913,0.17772264406795088,0.07026855006964954,0.0018589680813858019
TAIGA PLAIN,00,0.4435376239994733,0.012875248788173395,0.0333365663940165,0.4402106487880488,0.06420181443242443,0.0058380975978636045
TAIGA PLAIN,01,0.27335369135716064,0.011990030925493753,0.032132337006724514,0.6109796983274548,0.0654430327528349,0.006101209630331418
TAIGA PLAIN,02-05,0.21484169212680945,0.014804125002751715,0.10235998224192797,0.5617004492295344,0.10213087663904946,0.004162874759926999
TAIGA PLAIN,06-09,0.20773117750641729,0.018165058740621826,0.1700890694307189,0.4638954809945697,0.13692225880464057,0.0031969545230317226
TAIGA PLAIN,10-19,0.2394942317022609,0.028938071627172473,0.20160507645781406,0.3583194008130781,0.1686580108832526,0.002985208516421864
TAIGA PLAIN,20-29,0.34034085984052975,0.0546698408296791,0.18427895868888863,0.22367512422710337,0.19403696304512755,0.0029982533686716112
TAIGA PLAIN,30-39,0.3919169112705276,0.10593938031916991,0.15481048477110784,0.1535518584162807,0.1913228688563948,0.0024584963665191294
TAIGA PLAIN,40-49,0.4075743416759281,0.21109025999756528,0.14310825568834853,0.0690864616745496,0.16710080602513178,0.0020398749384766927
TAIGA PLAIN,50-59,0.3560516896400872,0.37132328429005845,0.10038296963928152,0.0347836769621154,0.13641650184028387,0.0010418776281735658
TAIGA PLAIN,>60,0.2650256149283324,0.46017390690954346,0.10196426884400905,0.03729110323691573,0.13479385241720024,0.0007512536639991535
TAIGA SHIELD,pre-fire,0.6048096623277612,0.0025434870247493155,0.019164442240326766,0.3409471605972106,0.026248427084528507,0.006286820725423575
TAIGA SHIELD,-01,0.6092700261734975,0.0018596663877996924,0.015907849547263347,0.34018964987361366,0.025158834056391705,0.0076139739614342035
TAIGA SHIELD,00,0.42496330908043856,0.0008734751985689436,0.011832797858471326,0.5100155213554993,0.023975861666227213,0.028339034840794714
TAIGA SHIELD,01,0.23186555763974448,0.000640988446303682,0.007205058876208036,0.6988636796801467,0.022407325445750415,0.039017389911846674
TAIGA SHIELD,02-05,0.16802930205775718,0.0006656904446860015,0.016531011486521967,0.7667615538860952,0.02555533357724261,0.02245710854769705
TAIGA SHIELD,06-09,0.18246745101311898,0.0009608350810354938,0.03628932632855808,0.7325675344838243,0.03337602384066012,0.014338829252803003
TAIGA SHIELD,10-19,0.24614217306159475,0.0012977857744069482,0.057940554764929764,0.6417860437168836,0.04410746955167021,0.00872597313051469
TAIGA SHIELD,20-29,0.3594841584302753,0.002955955617227216,0.07451249518131055,0.4977881277328403,0.05725414592972808,0.008005117108618552
TAIGA SHIELD,30-39,0.41510305538673414,0.0050278673047814875,0.08577281699531165,0.42257533662097535,0.06340222749952969,0.008118696192667718
TAIGA SHIELD,40-49,0.5396718027959895,0.008901445154948484,0.06840729462219879,0.3171369571926664,0.057823622345073974,0.008058877889122872
