s,age,PFT,relative_mean
Control,40,Temperate broadleaf,0.008857384071700853
Control,40,Conifers (other),0.2113498151833802
Control,40,Pioneering broadleaf,0.14817960733804508
Control,40,Needleleaf evergreen,0.2833437352368228
Control,41,Non-tree V.,0.3384555137705447
Control,41,Temperate broadleaf,0.009023779200434864
Control,41,Conifers (other),0.2130465239591992
Control,41,Pioneering broadleaf,0.15190271636141486
Control,41,Needleleaf evergreen,0.2875714667084065
Control,42,Non-tree V.,0.3295939891925368
Control,42,Temperate broadleaf,0.009143415606340384
Control,42,Conifers (other),0.21401297665054372
Control,42,Pioneering broadleaf,0.15553950742695918
Control,42,Needleleaf evergreen,0.29171011112361944
Control,43,Non-tree V.,0.3200813502674115
Control,43,Temperate broadleaf,0.009309711470706966
Control,43,Conifers (other),0.21565893355981805
Control,43,Pioneering broadleaf,0.15912347563241877
Control,43,Needleleaf evergreen,0.2958265290696454
Control,44,Non-tree V.,0.3107219836725186
Control,44,Temperate broadleaf,0.009425336281786408
Control,44,Conifers (other),0.2172921858916612
Control,44,Pioneering broadleaf,0.16278278353996908
Control,44,Needleleaf evergreen,0.29977771061406505
Control,45,Non-tree V.,0.3016858814246974
Control,45,Temperate broadleaf,0.009573212761393144
Control,45,Conifers (other),0.21875032577780493
Control,45,Pioneering broadleaf,0.16636745776089848
Control,45,Needleleaf evergreen,0.3036231222752066
Control,46,Non-tree V.,0.2925964223076363
Control,46,Temperate broadleaf,0.009681923434175269
Control,46,Conifers (other),0.22030687155329048
Control,46,Pioneering broadleaf,0.1698927771654886
Control,46,Needleleaf evergreen,0.30752200553940795
Control,47,Non-tree V.,0.28457238735141993
Control,47,Temperate broadleaf,0.009792475451094929
Control,47,Conifers (other),0.22091124425795192
Control,47,Pioneering broadleaf,0.17352352196267137
Control,47,Needleleaf evergreen,0.3112003709768616
Control,48,Non-tree V.,0.2756874250072745
Control,48,Temperate broadleaf,0.00989423197518401
Control,48,Conifers (other),0.22239620331865073
Control,48,Pioneering broadleaf,0.17704202430646784
Control,48,Needleleaf evergreen,0.3149801153924238
Control,49,Non-tree V.,0.2669817365045576
Control,49,Temperate broadleaf,0.009970438584755457
Control,49,Conifers (other),0.22382196948644192
Control,49,Pioneering broadleaf,0.18054440082745551
Control,49,Needleleaf evergreen,0.3186814545967893
Control,50,Non-tree V.,0.2585237712968949
Control,50,Temperate broadleaf,0.010041575009436542
Control,50,Conifers (other),0.22512591454611566
Control,50,Pioneering broadleaf,0.18399671017347943
Control,50,Needleleaf evergreen,0.32231202897407296
Control,51,Non-tree V.,0.25025799179637187
Control,51,Temperate broadleaf,0.010119214248601374
Control,51,Conifers (other),0.22639850783635157
Control,51,Pioneering broadleaf,0.18739348303056275
Control,51,Needleleaf evergreen,0.32583080308810974
Control,52,Non-tree V.,0.24290956066469566
Control,52,Temperate broadleaf,0.010095806948203303
Control,52,Conifers (other),0.2270166555906299
Control,52,Pioneering broadleaf,0.19085147924536436
Control,52,Needleleaf evergreen,0.3291264975511066
Control,53,Non-tree V.,0.23476371205308197
Control,53,Temperate broadleaf,0.010242012918328656
Control,53,Conifers (other),0.22826613812084132
Control,53,Pioneering broadleaf,0.1941026946429646
Control,53,Needleleaf evergreen,0.33262544226478385
Control,54,Non-tree V.,0.22683543124993097
Control,54,Temperate broadleaf,0.010188548882699282
Control,54,Conifers (other),0.22926180828965545
Control,54,Pioneering broadleaf,0.1975379548593655
Control,54,Needleleaf evergreen,0.33617625671834805
Control,55,Non-tree V.,0.2191584777844906
Control,55,Temperate broadleaf,0.010160669703185944
Control,55,Conifers (other),0.23019466843091718
Control,55,Pioneering broadleaf,0.2009387850243867
Control,55,Needleleaf evergreen,0.33954739905701953
Control,56,Non-tree V.,0.21169653687367543
Control,56,Temperate broadleaf,0.010193594415684891
Control,56,Conifers (other),0.23101424259604994
Control,56,Pioneering broadleaf,0.20418962614493696
Control,56,Needleleaf evergreen,0.34290599996965426
Control,57,Non-tree V.,0.20491465387707655
Control,57,Temperate broadleaf,0.010283355250290196
Control,57,Conifers (other),0.2314274432142806
Control,57,Pioneering broadleaf,0.20728856062148282
Control,57,Needleleaf evergreen,0.34608598703687055
Control,58,Non-tree V.,0.19729514542414223
Control,58,Temperate broadleaf,0.010334864467011928
Control,58,Conifers (other),0.23237446073276555
Control,58,Pioneering broadleaf,0.21049341045465852
Control,58,Needleleaf evergreen,0.3495021189214215
Control,59,Non-tree V.,0.18982003252783858
Control,59,Temperate broadleaf,0.010453678301485744
Control,59,Conifers (other),0.23335545458437318
Control,59,Pioneering broadleaf,0.2134853345018625
Control,59,Needleleaf evergreen,0.35288550008444297
Control,60,Non-tree V.,0.1828012611824229
Control,60,Temperate broadleaf,0.010584552052039994
Control,60,Conifers (other),0.23420670874500854
Control,60,Pioneering broadleaf,0.2163769110310551
Control,60,Needleleaf evergreen,0.3560305669894729
Control,61,Non-tree V.,0.1757068427332503
Control,61,Temperate broadleaf,0.010720715820600522
Control,61,Conifers (other),0.2350801860403728
Control,61,Pioneering broadleaf,0.21926229813890752
Control,61,Needleleaf evergreen,0.35922995726686807
Control,62,Non-tree V.,0.16968220378247884
Control,62,Temperate broadleaf,0.010841021495364523
Control,62,Conifers (other),0.23538870155650277
Control,62,Pioneering broadleaf,0.22208355124492526
Control,62,Needleleaf evergreen,0.362004521920728
Control,63,Non-tree V.,0.162981840192908
Control,63,Temperate broadleaf,0.010975641858547632
Control,63,Conifers (other),0.23610864617246025
Control,63,Pioneering broadleaf,0.22479472796611297
Control,63,Needleleaf evergreen,0.3651391438099725
Control,64,Non-tree V.,0.15663666208154337
Control,64,Temperate broadleaf,0.011115920978268443
Control,64,Conifers (other),0.23676217411395323
Control,64,Pioneering broadleaf,0.22742359116093672
Control,64,Needleleaf evergreen,0.36806165166529875
Control,65,Non-tree V.,0.15070635705193847
Control,65,Temperate broadleaf,0.011221205292936787
Control,65,Conifers (other),0.23736974394084168
Control,65,Pioneering broadleaf,0.22995496359170958
Control,65,Needleleaf evergreen,0.37074773012257495
Control,66,Non-tree V.,0.14502401388963468
Control,66,Temperate broadleaf,0.01134277064286661
Control,66,Conifers (other),0.23780668143687156
Control,66,Pioneering broadleaf,0.23243154271678293
Control,66,Needleleaf evergreen,0.3733949913138452
Control,67,Non-tree V.,0.14061818922408917
Control,67,Temperate broadleaf,0.011474243091175371
Control,67,Conifers (other),0.23761659582551506
Control,67,Pioneering broadleaf,0.23480993968078545
Control,67,Needleleaf evergreen,0.37548103217843376
Control,68,Non-tree V.,0.13522409601055785
Control,68,Temperate broadleaf,0.011584707310929756
Control,68,Conifers (other),0.23786256255725483
Control,68,Pioneering broadleaf,0.23725120609366548
Control,68,Needleleaf evergreen,0.37807742802759053
Control,69,Non-tree V.,0.1300692962561372
Control,69,Temperate broadleaf,0.011702406525452003
Control,69,Conifers (other),0.2381597025950905
Control,69,Pioneering broadleaf,0.239532051460707
Control,69,Needleleaf evergreen,0.3805365431626149
Control,70,Non-tree V.,0.12516443286059878
Control,70,Temperate broadleaf,0.011834099139864796
Control,70,Conifers (other),0.23849350350278195
Control,70,Pioneering broadleaf,0.24166597801227496
Control,70,Needleleaf evergreen,0.3828419864844783
Control,71,Non-tree V.,0.12048567284627365
Control,71,Temperate broadleaf,0.01195282238212323
Control,71,Conifers (other),0.23865844084577634
Control,71,Pioneering broadleaf,0.24373691714239598
Control,71,Needleleaf evergreen,0.38516614678343036
Control,72,Non-tree V.,0.11685295011902307
Control,72,Temperate broadleaf,0.01208313377428049
Control,72,Conifers (other),0.23858808850160315
Control,72,Pioneering broadleaf,0.2455422314486505
Control,72,Needleleaf evergreen,0.386933596156439
Control,73,Non-tree V.,0.11275986622430559
Control,73,Temperate broadleaf,0.012207519526930156
Control,73,Conifers (other),0.23882926036139018
Control,73,Pioneering broadleaf,0.24728605730552666
Control,73,Needleleaf evergreen,0.38891729658184643
