s,age,class,mean_diff
SSP1-RCP2.6,31,Deciduous transient,0.3994362466394796
SSP1-RCP2.6,32,Direct conifer recovery,0.23112434185677147
SSP1-RCP2.6,32,Deciduous transient,0.41437337896765775
SSP1-RCP2.6,33,Direct conifer recovery,0.23794447610818484
SSP1-RCP2.6,33,Deciduous transient,0.42945931889085387
SSP1-RCP2.6,34,Direct conifer recovery,0.24466794339054698
SSP1-RCP2.6,34,Deciduous transient,0.44436989132747384
SSP1-RCP2.6,35,Direct conifer recovery,0.2510170164131138
SSP1-RCP2.6,35,Deciduous transient,0.4592863207486759
SSP1-RCP2.6,36,Direct conifer recovery,0.2575942022646237
SSP1-RCP2.6,36,Deciduous transient,0.4738181211997793
SSP1-RCP2.6,37,Direct conifer recovery,0.2649800447473819
SSP1-RCP2.6,37,Deciduous transient,0.48870595099109493
SSP1-RCP2.6,38,Direct conifer recovery,0.27140779814590343
SSP1-RCP2.6,38,Deciduous transient,0.5039834252724031
SSP1-RCP2.6,39,Direct conifer recovery,0.2781022543655374
SSP1-RCP2.6,39,Deciduous transient,0.5190190440940797
SSP1-RCP2.6,40,Direct conifer recovery,0.28463059173197724
SSP1-RCP2.6,40,Deciduous transient,0.534453478036351
SSP1-RCP2.6,41,Direct conifer recovery,0.29107355086035436
SSP1-RCP2.6,41,Deciduous transient,0.5497809881429689
SSP1-RCP2.6,42,Direct conifer recovery,0.29786632510066996
SSP1-RCP2.6,42,Deciduous transient,0.5647359404284292
SSP1-RCP2.6,43,Direct conifer recovery,0.3046020426585542
SSP1-RCP2.6,43,Deciduous transient,0.5794332997056906
SSP1-RCP2.6,44,Direct conifer recovery,0.3112616207444797
SSP1-RCP2.6,44,Deciduous transient,0.5948291577997135
SSP1-RCP2.6,45,Direct conifer recovery,0.31750077559240786
SSP1-RCP2.6,45,Deciduous transient,0.6099950036492102
SSP1-RCP2.6,46,Direct conifer recovery,0.3237923933853143
SSP1-RCP2.6,46,Deciduous transient,0.6255747979555439
SSP1-RCP2.6,47,Direct conifer recovery,0.33073577257585846
SSP1-RCP2.6,47,Deciduous transient,0.6412018956422693
SSP1-RCP2.6,48,Direct conifer recovery,0.3372651589972961
SSP1-RCP2.6,48,Deciduous transient,0.6566395428576445
