tas_smoothed,class,length_transient,Lon,Lat,PID,s,length_transient_trans
277.2821472167969,0,0,-130.75,61.25,24,SSP5-RCP8.5,0
281.03955993652346,2,0,-130.25,57.25,19,SSP5-RCP8.5,0
278.52622985839844,1,60,-130.25,60.25,24,SSP5-RCP8.5,0.8890756251918218
276.92308654785154,0,0,-130.25,61.75,18,SSP5-RCP8.5,0
276.9704223632813,0,0,-130.25,61.75,19,SSP5-RCP8.5,0
276.5686737060547,0,0,-130.25,61.75,21,SSP5-RCP8.5,0
279.8339904785156,2,0,-129.75,58.25,20,SSP5-RCP8.5,0
279.4036376953125,1,45,-129.75,58.75,19,SSP5-RCP8.5,0.8266062568876719
279.97380981445315,0,0,-129.25,57.25,19,SSP5-RCP8.5,0
279.2595245361328,0,0,-129.25,57.25,21,SSP5-RCP8.5,0
279.5236480712891,1,51,-129.25,57.75,22,SSP5-RCP8.5,0.8537850880489681
279.26043090820315,0,0,-129.25,58.25,21,SSP5-RCP8.5,0
278.2354766845703,2,0,-128.75,58.75,20,SSP5-RCP8.5,0
278.4819000244141,0,0,-128.75,58.75,23,SSP5-RCP8.5,0
279.88731384277344,2,0,-128.25,57.75,18,SSP5-RCP8.5,0
279.35145568847656,2,0,-127.75,57.75,22,SSP5-RCP8.5,0
278.66485290527345,1,68,-127.75,57.75,23,SSP5-RCP8.5,0.9162544563531182
279.4011688232422,2,0,-127.75,57.75,24,SSP5-RCP8.5,0
279.4457275390625,2,0,-127.25,57.25,16,SSP5-RCP8.5,0
278.8181182861328,1,20,-127.25,57.25,22,SSP5-RCP8.5,0.6505149978319906
277.85199584960935,0,0,-126.75,61.25,17,SSP5-RCP8.5,0
278.8783813476563,0,0,-126.25,58.25,20,SSP5-RCP8.5,0
277.3717529296875,0,0,-126.25,61.75,21,SSP5-RCP8.5,0
278.3735687255859,0,0,-125.75,58.25,16,SSP5-RCP8.5,0
278.3933044433594,0,0,-125.75,58.25,17,SSP5-RCP8.5,0
278.3231903076172,0,0,-125.75,58.25,19,SSP5-RCP8.5,0
277.0365295410156,0,0,-125.75,61.75,17,SSP5-RCP8.5,0
277.294140625,0,0,-125.75,61.75,21,SSP5-RCP8.5,0
275.5170043945312,0,0,-125.25,62.25,22,SSP5-RCP8.5,0
279.28436279296875,2,0,-124.75,58.75,24,SSP5-RCP8.5,0
278.7460144042969,0,0,-124.25,58.25,17,SSP5-RCP8.5,0
279.25196228027346,0,0,-124.25,58.25,24,SSP5-RCP8.5,0
278.76357421875,1,80,-123.75,57.25,23,SSP5-RCP8.5,0.9515449934959718
281.2432830810547,0,0,-105.75,58.25,24,SSP5-RCP8.5,0
281.3695770263672,1,12,-105.25,58.75,18,SSP5-RCP8.5,0.5395906230238124
280.7063018798828,0,0,-104.75,58.25,18,SSP5-RCP8.5,0
280.83751220703124,0,0,-104.75,58.25,21,SSP5-RCP8.5,0
280.9468597412109,0,0,-104.75,58.75,18,SSP5-RCP8.5,0
280.02198486328126,2,0,-104.75,59.25,18,SSP5-RCP8.5,0
280.17730712890625,2,3,-104.75,59.25,20,SSP5-RCP8.5,0.23856062735983122
280.1718048095703,0,0,-104.75,59.25,22,SSP5-RCP8.5,0
