s,age,PFT,relative_mean
Control,42,Non-tree V.,0.34171391721896244
Control,42,Temperate broadleaf,0.007664264535519588
Control,42,Conifers (other),0.21634231746938568
Control,42,Pioneering broadleaf,0.14765264997351113
Control,42,Needleleaf evergreen,0.2866268508026208
Control,43,Non-tree V.,0.3320487619074438
Control,43,Temperate broadleaf,0.007790588360740073
Control,43,Conifers (other),0.21827408649082927
Control,43,Pioneering broadleaf,0.15117825295475343
Control,43,Needleleaf evergreen,0.2907083102862319
Control,44,Non-tree V.,0.32254414000121284
Control,44,Temperate broadleaf,0.00788229070262861
Control,44,Conifers (other),0.2201309360392604
Control,44,Pioneering broadleaf,0.15462516111134983
Control,44,Needleleaf evergreen,0.29481747214554793
Control,45,Non-tree V.,0.3133240866818769
Control,45,Temperate broadleaf,0.00791756854346034
Control,45,Conifers (other),0.22188547973453007
Control,45,Pioneering broadleaf,0.15819237388712265
Control,45,Needleleaf evergreen,0.29868049115301026
Control,46,Non-tree V.,0.30413904171931533
Control,46,Temperate broadleaf,0.007914425123348095
Control,46,Conifers (other),0.2236492534764654
Control,46,Pioneering broadleaf,0.16166379032007946
Control,46,Needleleaf evergreen,0.30263348936079265
Control,47,Non-tree V.,0.2956637458912903
Control,47,Temperate broadleaf,0.007835455808307424
Control,47,Conifers (other),0.22486594828655454
Control,47,Pioneering broadleaf,0.1651663989075507
Control,47,Needleleaf evergreen,0.3064684511062963
Control,48,Non-tree V.,0.2865566362761723
Control,48,Temperate broadleaf,0.007873356173869054
Control,48,Conifers (other),0.22667194424797374
Control,48,Pioneering broadleaf,0.16860664017030044
Control,48,Needleleaf evergreen,0.31029142313168345
Control,49,Non-tree V.,0.27776817554483074
Control,49,Temperate broadleaf,0.007920513742701528
Control,49,Conifers (other),0.22834407643340532
Control,49,Pioneering broadleaf,0.17190891065569408
Control,49,Needleleaf evergreen,0.3140583236233681
Control,50,Non-tree V.,0.2691826262186273
Control,50,Temperate broadleaf,0.008051437710329888
Control,50,Conifers (other),0.23003906615154596
Control,50,Pioneering broadleaf,0.17514826353816768
Control,50,Needleleaf evergreen,0.31757860638132795
Control,51,Non-tree V.,0.2607034705256626
Control,51,Temperate broadleaf,0.00813215050091111
Control,51,Conifers (other),0.23159041581385828
Control,51,Pioneering broadleaf,0.178436152659728
Control,51,Needleleaf evergreen,0.32113781049983836
Control,52,Non-tree V.,0.2532527909498069
Control,52,Temperate broadleaf,0.008266270251083169
Control,52,Conifers (other),0.23248424261245218
Control,52,Pioneering broadleaf,0.18155093604495762
Control,52,Needleleaf evergreen,0.324445760141698
Control,53,Non-tree V.,0.24493359145763827
Control,53,Temperate broadleaf,0.008388060254126731
Control,53,Conifers (other),0.23398767642416304
Control,53,Pioneering broadleaf,0.1846773147919137
Control,53,Needleleaf evergreen,0.3280133570721569
Control,54,Non-tree V.,0.23692043924208997
Control,54,Temperate broadleaf,0.00851544151410127
Control,54,Conifers (other),0.2354098911593209
Control,54,Pioneering broadleaf,0.1877783553437192
