age,PFT_long,relative_mean,s
16,TeBS,0.009849043654400888,SSP1-RCP2.6
16,Tundra,0.4720147292506365,SSP1-RCP2.6
16,otherC,0.17952868391971422,SSP1-RCP2.6
17,BNE,0.14454090653911225,SSP1-RCP2.6
17,IBS,0.22195242307683072,SSP1-RCP2.6
17,TeBS,0.010924087955050846,SSP1-RCP2.6
17,Tundra,0.43825095098115535,SSP1-RCP2.6
17,otherC,0.1843316314478509,SSP1-RCP2.6
18,BNE,0.1525879903412003,SSP1-RCP2.6
18,IBS,0.23897639016606348,SSP1-RCP2.6
18,TeBS,0.011992544731811838,SSP1-RCP2.6
18,Tundra,0.4075989480883986,SSP1-RCP2.6
18,otherC,0.18884412667252576,SSP1-RCP2.6
19,BNE,0.16022424671334262,SSP1-RCP2.6
19,IBS,0.25526591718471114,SSP1-RCP2.6
19,TeBS,0.013144089171251736,SSP1-RCP2.6
19,Tundra,0.3793110137108911,SSP1-RCP2.6
19,otherC,0.19205473321980346,SSP1-RCP2.6
20,BNE,0.16681962675392492,SSP1-RCP2.6
20,IBS,0.2715726411041092,SSP1-RCP2.6
20,TeBS,0.01420267171325728,SSP1-RCP2.6
20,Tundra,0.35330157986834976,SSP1-RCP2.6
20,otherC,0.19410348056035887,SSP1-RCP2.6
21,BNE,0.17295650378371377,SSP1-RCP2.6
21,IBS,0.2876060214612128,SSP1-RCP2.6
21,TeBS,0.015292209750630463,SSP1-RCP2.6
21,Tundra,0.3287577498136917,SSP1-RCP2.6
21,otherC,0.1953875151907513,SSP1-RCP2.6
22,BNE,0.17928181162988213,SSP1-RCP2.6
22,IBS,0.30360846716463574,SSP1-RCP2.6
22,TeBS,0.01645252909508546,SSP1-RCP2.6
22,Tundra,0.3052311469127423,SSP1-RCP2.6
22,otherC,0.1954260451976545,SSP1-RCP2.6
23,BNE,0.18422419457648156,SSP1-RCP2.6
23,IBS,0.3189833292282103,SSP1-RCP2.6
23,TeBS,0.01759038065211434,SSP1-RCP2.6
23,Tundra,0.28377911766550495,SSP1-RCP2.6
23,otherC,0.19542297787768878,SSP1-RCP2.6
24,BNE,0.18902651089464248,SSP1-RCP2.6
24,IBS,0.3345829504663984,SSP1-RCP2.6
24,TeBS,0.01866121539352285,SSP1-RCP2.6
24,Tundra,0.2628918543942898,SSP1-RCP2.6
24,otherC,0.19483746885114653,SSP1-RCP2.6
25,BNE,0.19324058862586896,SSP1-RCP2.6
25,IBS,0.34912057102215766,SSP1-RCP2.6
25,TeBS,0.019789870237946698,SSP1-RCP2.6
25,Tundra,0.24415681329514133,SSP1-RCP2.6
25,otherC,0.19369215681888524,SSP1-RCP2.6
26,BNE,0.1974558857289675,SSP1-RCP2.6
26,IBS,0.36329180396270194,SSP1-RCP2.6
26,TeBS,0.020916937218829704,SSP1-RCP2.6
26,Tundra,0.22584400957315143,SSP1-RCP2.6
26,otherC,0.19249136351634946,SSP1-RCP2.6
27,BNE,0.2013593620120369,SSP1-RCP2.6
27,IBS,0.37714438577557186,SSP1-RCP2.6
27,TeBS,0.02206238157945838,SSP1-RCP2.6
27,Tundra,0.20876150112081468,SSP1-RCP2.6
27,otherC,0.19067236951211833,SSP1-RCP2.6
28,BNE,0.20490360797663024,SSP1-RCP2.6
28,IBS,0.39001397806790883,SSP1-RCP2.6
28,TeBS,0.023237825844025752,SSP1-RCP2.6
28,Tundra,0.1931699276873896,SSP1-RCP2.6
28,otherC,0.18867466042404554,SSP1-RCP2.6
29,BNE,0.20824277159432816,SSP1-RCP2.6
29,IBS,0.4022820626208134,SSP1-RCP2.6
29,TeBS,0.02427945135532977,SSP1-RCP2.6
29,Tundra,0.17808483584363827,SSP1-RCP2.6
29,otherC,0.1871108785858903,SSP1-RCP2.6
30,BNE,0.21127961219152647,SSP1-RCP2.6
30,IBS,0.4130249813724046,SSP1-RCP2.6
30,TeBS,0.025411356984670577,SSP1-RCP2.6
30,Tundra,0.16459191551023297,SSP1-RCP2.6
30,otherC,0.1856921339411651,SSP1-RCP2.6
31,BNE,0.2144548770790388,SSP1-RCP2.6
31,IBS,0.4228657162734351,SSP1-RCP2.6
31,TeBS,0.026615900462215403,SSP1-RCP2.6
31,Tundra,0.15232893583820523,SSP1-RCP2.6
31,otherC,0.18373457034710558,SSP1-RCP2.6
32,BNE,0.2169508264192671,SSP1-RCP2.6
32,IBS,0.4313325658990397,SSP1-RCP2.6
32,TeBS,0.027846047270454154,SSP1-RCP2.6
32,Tundra,0.14248619387645306,SSP1-RCP2.6
32,otherC,0.18138436653478582,SSP1-RCP2.6
33,BNE,0.2195679656223024,SSP1-RCP2.6
33,IBS,0.4394711006060867,SSP1-RCP2.6
33,TeBS,0.029173963746050066,SSP1-RCP2.6
33,Tundra,0.13246395478136772,SSP1-RCP2.6
33,otherC,0.17932301524419306,SSP1-RCP2.6
34,BNE,0.22194201823755552,SSP1-RCP2.6
