age,PFT_long,relative_mean,s
88,IBS,0.3240171821395895,Control
88,TeBS,0.019391715663041403,Control
88,Tundra,0.056248942611764496,Control
88,otherC,0.2122469137432817,Control
89,BNE,0.37270327278093074,Control
89,IBS,0.3251415740361899,Control
89,TeBS,0.019660929470890733,Control
89,Tundra,0.054542778720577494,Control
89,otherC,0.21112704961812007,Control
90,BNE,0.37462954679189003,Control
90,IBS,0.3260912694709134,Control
90,TeBS,0.01992326606043113,Control
90,Tundra,0.05342205048829788,Control
90,otherC,0.2091094718151762,Control
91,BNE,0.37626479699768167,Control
91,IBS,0.3272106842853939,Control
91,TeBS,0.01861087322802857,Control
91,Tundra,0.05178334210950332,Control
91,otherC,0.2093059080061013,Control
92,BNE,0.37724340593978023,Control
92,IBS,0.32781235131896047,Control
92,TeBS,0.01784127311122368,Control
92,Tundra,0.0511506308101853,Control
92,otherC,0.20912794344655894,Control
93,BNE,0.3785474998521557,Control
93,IBS,0.32893468452846053,Control
93,TeBS,0.01808937673802389,Control
93,Tundra,0.04952408444698682,Control
93,otherC,0.20807995906108187,Control
94,BNE,0.3796269152346998,Control
94,IBS,0.3292169982095482,Control
94,TeBS,0.018326044782123987,Control
94,Tundra,0.04832697684785131,Control
94,otherC,0.2076786695524854,Control
95,BNE,0.3808250443232968,Control
95,IBS,0.3300111100262944,Control
95,TeBS,0.016849490803464814,Control
95,Tundra,0.04742652965873192,Control
95,otherC,0.20806342981492082,Control
96,BNE,0.38216840243202416,Control
96,IBS,0.33058321642159144,Control
96,TeBS,0.017041329849019734,Control
96,Tundra,0.04609998527876698,Control
96,otherC,0.20728267064530637,Control
97,BNE,0.3832024243807099,Control
97,IBS,0.3306675779652487,Control
97,TeBS,0.017208760470958834,Control
97,Tundra,0.045552315154338344,Control
97,otherC,0.20654452665545284,Control
98,BNE,0.38457817085672774,Control
98,IBS,0.33092647405467585,Control
98,TeBS,0.017224253482362763,Control
98,Tundra,0.04481462077784098,Control
98,otherC,0.20563208545510137,Control
99,BNE,0.38579669936177147,Control
99,IBS,0.3317266859942863,Control
99,TeBS,0.016043031203037877,Control
99,Tundra,0.04415606489014459,Control
99,otherC,0.20545312317746864,Control
100,BNE,0.3871793057460502,Control
100,IBS,0.3323582807420964,Control
100,TeBS,0.015567396946944098,Control
100,Tundra,0.043232166470798944,Control
100,otherC,0.20483845472081919,Control
0,BNE,0,SSP1-RCP2.6
0,IBS,0,SSP1-RCP2.6
0,TeBS,0,SSP1-RCP2.6
0,Tundra,0,SSP1-RCP2.6
0,otherC,0,SSP1-RCP2.6
1,BNE,0,SSP1-RCP2.6
1,IBS,0,SSP1-RCP2.6
1,TeBS,0,SSP1-RCP2.6
1,Tundra,0,SSP1-RCP2.6
1,otherC,0,SSP1-RCP2.6
2,BNE,0.0076331064084202375,SSP1-RCP2.6
2,IBS,0.0379446490581268,SSP1-RCP2.6
2,TeBS,1.843586435690441e-4,SSP1-RCP2.6
2,Tundra,0.9013089697032535,SSP1-RCP2.6
2,otherC,0.05292891618663041,SSP1-RCP2.6
3,BNE,0.011033935168067218,SSP1-RCP2.6
3,IBS,0.03951200406494919,SSP1-RCP2.6
3,TeBS,6.740065670542776e-4,SSP1-RCP2.6
3,Tundra,0.895625896145996,SSP1-RCP2.6
3,otherC,0.053154158053933365,SSP1-RCP2.6
4,BNE,0.013307210711131764,SSP1-RCP2.6
4,IBS,0.04509645592872631,SSP1-RCP2.6
4,TeBS,0.0010638701236810545,SSP1-RCP2.6
4,Tundra,0.8834535487364717,SSP1-RCP2.6
4,otherC,0.05707891449998912,SSP1-RCP2.6
5,BNE,0.015128199029073057,SSP1-RCP2.6
5,IBS,0.052491305154373016,SSP1-RCP2.6
5,TeBS,0.0014486488499064565,SSP1-RCP2.6
5,Tundra,0.8677633448206921,SSP1-RCP2.6
5,otherC,0.06316850214595536,SSP1-RCP2.6
6,BNE,0.017579234349099603,SSP1-RCP2.6
6,IBS,0.0614670812426387,SSP1-RCP2.6
6,TeBS,0.001659993597358606,SSP1-RCP2.6
6,Tundra,0.845531145144659,SSP1-RCP2.6
6,otherC,0.07376254566624406,SSP1-RCP2.6
7,BNE,0.042909899698569155,SSP1-RCP2.6
7,IBS,0.07162330525000529,SSP1-RCP2.6
7,TeBS,0.002420598636229766,SSP1-RCP2.6
7,Tundra,0.7981206652396117,SSP1-RCP2.6
7,otherC,0.0849255311755841,SSP1-RCP2.6
8,BNE,0.04985489525366063,SSP1-RCP2.6
8,IBS,0.08274155449426268,SSP1-RCP2.6
8,TeBS,0.002880351585732691,SSP1-RCP2.6
8,Tundra,0.7669192998877562,SSP1-RCP2.6
8,otherC,0.0976038987785878,SSP1-RCP2.6
9,BNE,0.05899514902740467,SSP1-RCP2.6
9,IBS,0.09562363062018177,SSP1-RCP2.6
9,TeBS,0.0034972834569491087,SSP1-RCP2.6
9,Tundra,0.7308062047992595,SSP1-RCP2.6
9,otherC,0.11107773209620493,SSP1-RCP2.6
10,BNE,0.0681417539539342,SSP1-RCP2.6
10,IBS,0.10896028760500955,SSP1-RCP2.6
10,TeBS,0.004196868425485921,SSP1-RCP2.6
10,Tundra,0.6948336076943578,SSP1-RCP2.6
10,otherC,0.1238674823212125,SSP1-RCP2.6
11,BNE,0.07753804507619079,SSP1-RCP2.6
11,IBS,0.12365128896967785,SSP1-RCP2.6
11,TeBS,0.005017055966271589,SSP1-RCP2.6
11,Tundra,0.6576312899492439,SSP1-RCP2.6
11,otherC,0.1361623200386159,SSP1-RCP2.6
12,BNE,0.09450890678721621,SSP1-RCP2.6
12,IBS,0.13875035223389118,SSP1-RCP2.6
12,TeBS,0.0058951383504738325,SSP1-RCP2.6
12,Tundra,0.6148699537232168,SSP1-RCP2.6
12,otherC,0.14597564890520198,SSP1-RCP2.6
13,BNE,0.10457471445794407,SSP1-RCP2.6
