"Lon" "Lat" "Year" "BNE" "BINE" "BNS" "IBS" "TeBS" "TeNE" "C3G" "HSE" "HSS" "LSE" "LSS" "GRT" "EPDS" "SPDS" "CLM" "Total"
45.75 61.75 2005 3.095 0.207 0 0.002 0 0 0.055 0 0.017 0.002 0.007 0 0 0 0 3.384
48.75 63.75 2005 3.108 0.294 0 0.022 0 0 0.121 0 0.057 0 0.003 0 0 0 0 3.606
51.75 62.25 2005 2.84 0.169 0 0.001 0 0 0.043 0 0.007 0.001 0.001 0 0 0 0 3.061
54.75 66.75 2005 0.824 0.056 0 0.001 0 0 0.204 0 0.016 0.003 0.008 0 0 0 0 1.112
58.25 62.25 2005 2.706 0.281 0 0.065 0 0 0.105 0 0.043 0.001 0.004 0 0 0 0 3.204
61.25 61.25 2005 2.805 0.4 0 0.833 0 0 0.097 0 0.062 0.001 0.004 0 0 0 0 4.201
64.75 59.25 2005 3.245 0.574 0 1.133 0 0 0.03 0 0.173 0 0.001 0 0 0 0 5.156
68.25 58.25 2005 4.324 0.519 0 0.136 0 0 0.034 0 0.021 0.002 0.007 0 0 0 0 5.044
71.25 65.25 2005 0.715 0.047 0 0.003 0 0 0.246 0 0.04 0.003 0.008 0 0 0 0 1.062
75.25 60.25 2005 2.464 0.185 0 0.743 0 0 0.076 0 0.062 0.002 0.005 0 0 0 0 3.536
78.75 64.25 2005 1.079 0.071 0 0.001 0 0 0.147 0 0.018 0.002 0.005 0 0 0 0 1.322
83.25 58.25 2005 2.837 0.672 0 0.184 0 0 0.051 0 0.047 0.001 0.005 0 0 0 0 3.797
92.25 55.25 2005 3.345 0.519 0 2.762 0 0 0.072 0 0.04 0.004 0.011 0 0 0 0 6.753
101.25 54.25 2005 3.13 0.455 0 2.501 0 0 0.038 0 0.064 0.002 0.006 0 0 0 0 6.195
112.25 51.25 2005 2.107 0.57 0 2.872 0 0 0.038 0 0.085 0.003 0.01 0 0 0 0 5.685
138.75 50.75 2005 1.525 0.103 0 0.001 0 0 0.071 0 0.009 0.003 0.005 0 0 0 0 1.717
152.25 59.25 2005 1.415 0.083 0 0 0 0 0.031 0 0.009 0.004 0.005 0 0 0 0 1.548
39.75 57.25 2005 1.787 0.163 0 3.454 1.96 0 0.027 0.022 0.13 0.002 0.008 0 0 0 0 7.551
77.75 57.75 2005 2.733 0.274 0 0.587 0 0 0.044 0 0.144 0.003 0.01 0 0 0 0 3.795
136.25 51.75 2005 1.881 0.169 0.908 0.171 0 0 0.043 0 0.093 0.003 0.008 0 0 0 0 3.276
-162.75 62.25 2005 0.524 0.038 0 0.001 0 0 0.193 0 0.023 0.004 0.01 0 0 0 0 0.794
-155.75 60.75 2005 2.154 0.239 0 0.001 0 0 0.047 0 0.012 0 0.001 0 0 0 0 2.454
-150.75 60.25 2005 5.566 0.754 0 0 0 0 0.002 0.011 0.012 0 0 0 0 0 0 6.347
-136.75 61.75 2005 5.399 0.677 0 0.001 0 0 0.025 0 0.028 0.001 0.001 0 0 0 0 6.132
-128.25 58.75 2005 1.198 0.167 0 0.001 0 0 0.22 0 0.047 0.012 0.013 0 0 0 0 1.658
-123.25 57.75 2005 4.536 2.911 0 0.098 0 0 0.043 0 0.081 0.003 0.008 0 0 0 0 7.679
-118.25 60.25 2005 4.593 2.218 0 0.355 0 0 0.02 0 0.012 0.001 0.004 0 0 0 0 7.204
-113.25 58.25 2005 3.22 1.271 0 1.647 0 0 0.055 0 0.102 0.005 0.015 0 0 0 0 6.315
-108.75 56.25 2005 2.953 1.099 0 1.974 0 0 0.033 0 0.132 0.001 0.003 0 0 0 0 6.196
-104.25 58.75 2005 1.594 0.085 0 0 0 0 0.063 0 0.01 0.003 0.007 0 0 0 0 1.761
-98.75 57.75 2005 0.792 0.079 0 0 0 0 0.109 0 0.008 0.004 0.013 0 0 0 0 1.006
-94.25 57.25 2005 1.031 0.126 0 0.002 0 0 0.165 0 0.014 0.005 0.014 0 0 0 0 1.357
